Epoch 001 | learning rate: 0.0500 | Train Loss: 1.9970 | Train Acc: 0.2802 | Valid Loss: 1.9975 | Valid Acc: 0.2834 | Epoch Time: 7.48 s
Epoch 002 | learning rate: 0.0500 | Train Loss: 1.8180 | Train Acc: 0.3570 | Valid Loss: 1.7435 | Valid Acc: 0.3696 | Epoch Time: 7.14 s
Epoch 003 | learning rate: 0.0475 | Train Loss: 1.7359 | Train Acc: 0.3854 | Valid Loss: 1.7231 | Valid Acc: 0.3850 | Epoch Time: 7.02 s
Epoch 004 | learning rate: 0.0475 | Train Loss: 1.6882 | Train Acc: 0.4036 | Valid Loss: 1.6629 | Valid Acc: 0.4198 | Epoch Time: 7.45 s
Epoch 005 | learning rate: 0.0451 | Train Loss: 1.6351 | Train Acc: 0.4227 | Valid Loss: 1.5961 | Valid Acc: 0.4282 | Epoch Time: 7.45 s
Epoch 006 | learning rate: 0.0451 | Train Loss: 1.6011 | Train Acc: 0.4352 | Valid Loss: 1.6476 | Valid Acc: 0.4196 | Epoch Time: 7.60 s
Epoch 007 | learning rate: 0.0429 | Train Loss: 1.5685 | Train Acc: 0.4459 | Valid Loss: 1.5433 | Valid Acc: 0.4594 | Epoch Time: 7.50 s
Epoch 008 | learning rate: 0.0429 | Train Loss: 1.5457 | Train Acc: 0.4557 | Valid Loss: 1.5637 | Valid Acc: 0.4464 | Epoch Time: 7.51 s
Epoch 009 | learning rate: 0.0407 | Train Loss: 1.5169 | Train Acc: 0.4654 | Valid Loss: 1.5366 | Valid Acc: 0.4602 | Epoch Time: 7.17 s
Epoch 010 | learning rate: 0.0407 | Train Loss: 1.4906 | Train Acc: 0.4742 | Valid Loss: 1.5759 | Valid Acc: 0.4450 | Epoch Time: 7.23 s
Epoch 011 | learning rate: 0.0387 | Train Loss: 1.4743 | Train Acc: 0.4804 | Valid Loss: 1.4871 | Valid Acc: 0.4824 | Epoch Time: 6.31 s
Epoch 012 | learning rate: 0.0387 | Train Loss: 1.4530 | Train Acc: 0.4876 | Valid Loss: 1.5548 | Valid Acc: 0.4572 | Epoch Time: 7.52 s
Epoch 013 | learning rate: 0.0368 | Train Loss: 1.4349 | Train Acc: 0.4959 | Valid Loss: 1.4623 | Valid Acc: 0.4824 | Epoch Time: 6.83 s
Epoch 014 | learning rate: 0.0368 | Train Loss: 1.4127 | Train Acc: 0.5026 | Valid Loss: 1.4626 | Valid Acc: 0.4862 | Epoch Time: 6.81 s
Epoch 015 | learning rate: 0.0349 | Train Loss: 1.3938 | Train Acc: 0.5107 | Valid Loss: 1.4674 | Valid Acc: 0.4774 | Epoch Time: 6.04 s
Epoch 016 | learning rate: 0.0349 | Train Loss: 1.3791 | Train Acc: 0.5151 | Valid Loss: 1.5800 | Valid Acc: 0.4434 | Epoch Time: 6.29 s
Epoch 017 | learning rate: 0.0349 | Train Loss: 1.3637 | Train Acc: 0.5215 | Valid Loss: 1.4812 | Valid Acc: 0.4792 | Epoch Time: 6.17 s
Epoch 018 | learning rate: 0.0332 | Train Loss: 1.3476 | Train Acc: 0.5268 | Valid Loss: 1.4259 | Valid Acc: 0.4928 | Epoch Time: 6.37 s
Epoch 019 | learning rate: 0.0332 | Train Loss: 1.3364 | Train Acc: 0.5313 | Valid Loss: 1.5020 | Valid Acc: 0.4694 | Epoch Time: 6.62 s
Epoch 020 | learning rate: 0.0315 | Train Loss: 1.3195 | Train Acc: 0.5370 | Valid Loss: 1.4962 | Valid Acc: 0.4686 | Epoch Time: 6.24 s
