Epoch 037 | learning rate: 0.0209 | Train Loss: 1.1712 | Train Acc: 0.5917 | Valid Loss: 1.3254 | Valid Acc: 0.5286 | Epoch Time: 6.20 s
Epoch 038 | learning rate: 0.0209 | Train Loss: 1.1684 | Train Acc: 0.5950 | Valid Loss: 1.3399 | Valid Acc: 0.5290 | Epoch Time: 6.28 s
Epoch 039 | learning rate: 0.0199 | Train Loss: 1.1550 | Train Acc: 0.5982 | Valid Loss: 1.3339 | Valid Acc: 0.5244 | Epoch Time: 6.43 s
Epoch 040 | learning rate: 0.0199 | Train Loss: 1.1518 | Train Acc: 0.5991 | Valid Loss: 1.3293 | Valid Acc: 0.5322 | Epoch Time: 6.06 s
Epoch 041 | learning rate: 0.0189 | Train Loss: 1.1393 | Train Acc: 0.6024 | Valid Loss: 1.3666 | Valid Acc: 0.5178 | Epoch Time: 6.17 s
Epoch 042 | learning rate: 0.0189 | Train Loss: 1.1320 | Train Acc: 0.6067 | Valid Loss: 1.3271 | Valid Acc: 0.5342 | Epoch Time: 6.34 s
Epoch 043 | learning rate: 0.0179 | Train Loss: 1.1238 | Train Acc: 0.6100 | Valid Loss: 1.3860 | Valid Acc: 0.5152 | Epoch Time: 6.12 s
Epoch 044 | learning rate: 0.0179 | Train Loss: 1.1155 | Train Acc: 0.6139 | Valid Loss: 1.3377 | Valid Acc: 0.5268 | Epoch Time: 6.19 s
Epoch 045 | learning rate: 0.0170 | Train Loss: 1.1115 | Train Acc: 0.6132 | Valid Loss: 1.3602 | Valid Acc: 0.5262 | Epoch Time: 6.23 s
Epoch 046 | learning rate: 0.0170 | Train Loss: 1.0989 | Train Acc: 0.6190 | Valid Loss: 1.3329 | Valid Acc: 0.5310 | Epoch Time: 6.10 s
Epoch 047 | learning rate: 0.0162 | Train Loss: 1.0936 | Train Acc: 0.6226 | Valid Loss: 1.3056 | Valid Acc: 0.5418 | Epoch Time: 6.06 s
Epoch 048 | learning rate: 0.0162 | Train Loss: 1.0846 | Train Acc: 0.6236 | Valid Loss: 1.3705 | Valid Acc: 0.5286 | Epoch Time: 6.02 s
Epoch 049 | learning rate: 0.0162 | Train Loss: 1.0824 | Train Acc: 0.6247 | Valid Loss: 1.3203 | Valid Acc: 0.5314 | Epoch Time: 6.46 s
Epoch 050 | learning rate: 0.0154 | Train Loss: 1.0732 | Train Acc: 0.6288 | Valid Loss: 1.3067 | Valid Acc: 0.5372 | Epoch Time: 6.49 s
Epoch 051 | learning rate: 0.0154 | Train Loss: 1.0716 | Train Acc: 0.6284 | Valid Loss: 1.3149 | Valid Acc: 0.5362 | Epoch Time: 6.21 s
Epoch 052 | learning rate: 0.0146 | Train Loss: 1.0557 | Train Acc: 0.6352 | Valid Loss: 1.3794 | Valid Acc: 0.5226 | Epoch Time: 6.25 s
Epoch 053 | learning rate: 0.0146 | Train Loss: 1.0571 | Train Acc: 0.6344 | Valid Loss: 1.3237 | Valid Acc: 0.5354 | Epoch Time: 6.34 s
Epoch 054 | learning rate: 0.0139 | Train Loss: 1.0479 | Train Acc: 0.6388 | Valid Loss: 1.3569 | Valid Acc: 0.5228 | Epoch Time: 5.67 s
Epoch 055 | learning rate: 0.0139 | Train Loss: 1.0445 | Train Acc: 0.6412 | Valid Loss: 1.3109 | Valid Acc: 0.5368 | Epoch Time: 6.20 s
Epoch 056 | learning rate: 0.0132 | Train Loss: 1.0386 | Train Acc: 0.6433 | Valid Loss: 1.3146 | Valid Acc: 0.5366 | Epoch Time: 6.27 s
Epoch 057 | learning rate: 0.0132 | Train Loss: 1.0286 | Train Acc: 0.6469 | Valid Loss: 1.3018 | Valid Acc: 0.5454 | Epoch Time: 6.14 s
Epoch 058 | learning rate: 0.0125 | Train Loss: 1.0254 | Train Acc: 0.6478 | Valid Loss: 1.2782 | Valid Acc: 0.5508 | Epoch Time: 6.22 s
Epoch 059 | learning rate: 0.0125 | Train Loss: 1.0152 | Train Acc: 0.6527 | Valid Loss: 1.3126 | Valid Acc: 0.5412 | Epoch Time: 6.24 s
Epoch 060 | learning rate: 0.0119 | Train Loss: 1.0103 | Train Acc: 0.6539 | Valid Loss: 1.3007 | Valid Acc: 0.5450 | Epoch Time: 6.39 s
Epoch 061 | learning rate: 0.0119 | Train Loss: 0.9994 | Train Acc: 0.6574 | Valid Loss: 1.2868 | Valid Acc: 0.5482 | Epoch Time: 5.74 s
Epoch 062 | learning rate: 0.0113 | Train Loss: 0.9994 | Train Acc: 0.6572 | Valid Loss: 1.2909 | Valid Acc: 0.5492 | Epoch Time: 5.97 s
Epoch 063 | learning rate: 0.0113 | Train Loss: 0.9903 | Train Acc: 0.6617 | Valid Loss: 1.3114 | Valid Acc: 0.5394 | Epoch Time: 6.08 s
Epoch 064 | learning rate: 0.0107 | Train Loss: 0.9890 | Train Acc: 0.6598 | Valid Loss: 1.3001 | Valid Acc: 0.5464 | Epoch Time: 5.37 s
Epoch 065 | learning rate: 0.0107 | Train Loss: 0.9750 | Train Acc: 0.6673 | Valid Loss: 1.2805 | Valid Acc: 0.5490 | Epoch Time: 5.52 s
Epoch 066 | learning rate: 0.0107 | Train Loss: 0.9746 | Train Acc: 0.6671 | Valid Loss: 1.3083 | Valid Acc: 0.5412 | Epoch Time: 6.31 s
Epoch 067 | learning rate: 0.0102 | Train Loss: 0.9656 | Train Acc: 0.6713 | Valid Loss: 1.2934 | Valid Acc: 0.5472 | Epoch Time: 6.41 s
Epoch 068 | learning rate: 0.0102 | Train Loss: 0.9653 | Train Acc: 0.6712 | Valid Loss: 1.2911 | Valid Acc: 0.5544 | Epoch Time: 6.28 s
Epoch 069 | learning rate: 0.0097 | Train Loss: 0.9578 | Train Acc: 0.6745 | Valid Loss: 1.2985 | Valid Acc: 0.5464 | Epoch Time: 6.25 s
Epoch 070 | learning rate: 0.0097 | Train Loss: 0.9526 | Train Acc: 0.6755 | Valid Loss: 1.2826 | Valid Acc: 0.5516 | Epoch Time: 6.40 s
Epoch 071 | learning rate: 0.0092 | Train Loss: 0.9453 | Train Acc: 0.6797 | Valid Loss: 1.3186 | Valid Acc: 0.5404 | Epoch Time: 6.22 s
Epoch 072 | learning rate: 0.0092 | Train Loss: 0.9429 | Train Acc: 0.6802 | Valid Loss: 1.3054 | Valid Acc: 0.5498 | Epoch Time: 6.46 s
Epoch 073 | learning rate: 0.0087 | Train Loss: 0.9374 | Train Acc: 0.6828 | Valid Loss: 1.3091 | Valid Acc: 0.5438 | Epoch Time: 6.26 s
Epoch 074 | learning rate: 0.0087 | Train Loss: 0.9352 | Train Acc: 0.6839 | Valid Loss: 1.2718 | Valid Acc: 0.5578 | Epoch Time: 6.34 s
Epoch 075 | learning rate: 0.0083 | Train Loss: 0.9290 | Train Acc: 0.6865 | Valid Loss: 1.2817 | Valid Acc: 0.5506 | Epoch Time: 6.18 s
