Epoch 001 | learning rate: 0.0500 | Train Loss: 2.0074 | Train Acc: 0.2746 | Valid Loss: 1.8763 | Valid Acc: 0.3356 | Epoch Time: 8.42 s
Epoch 002 | learning rate: 0.0500 | Train Loss: 1.8342 | Train Acc: 0.3483 | Valid Loss: 1.8142 | Valid Acc: 0.3614 | Epoch Time: 7.62 s
Epoch 003 | learning rate: 0.0475 | Train Loss: 1.7457 | Train Acc: 0.3811 | Valid Loss: 1.7006 | Valid Acc: 0.3956 | Epoch Time: 7.20 s
Epoch 004 | learning rate: 0.0475 | Train Loss: 1.6921 | Train Acc: 0.4037 | Valid Loss: 1.6516 | Valid Acc: 0.4200 | Epoch Time: 6.91 s
Epoch 005 | learning rate: 0.0451 | Train Loss: 1.6501 | Train Acc: 0.4182 | Valid Loss: 1.7123 | Valid Acc: 0.3856 | Epoch Time: 6.91 s
Epoch 006 | learning rate: 0.0451 | Train Loss: 1.6134 | Train Acc: 0.4312 | Valid Loss: 1.5768 | Valid Acc: 0.4492 | Epoch Time: 6.45 s
Epoch 007 | learning rate: 0.0429 | Train Loss: 1.5849 | Train Acc: 0.4402 | Valid Loss: 1.6884 | Valid Acc: 0.3968 | Epoch Time: 6.22 s
Epoch 008 | learning rate: 0.0429 | Train Loss: 1.5614 | Train Acc: 0.4494 | Valid Loss: 1.5592 | Valid Acc: 0.4538 | Epoch Time: 6.44 s
Epoch 009 | learning rate: 0.0407 | Train Loss: 1.5372 | Train Acc: 0.4590 | Valid Loss: 1.5918 | Valid Acc: 0.4274 | Epoch Time: 6.50 s
Epoch 010 | learning rate: 0.0407 | Train Loss: 1.5100 | Train Acc: 0.4677 | Valid Loss: 1.5399 | Valid Acc: 0.4552 | Epoch Time: 6.48 s
Epoch 011 | learning rate: 0.0387 | Train Loss: 1.4913 | Train Acc: 0.4707 | Valid Loss: 1.5376 | Valid Acc: 0.4594 | Epoch Time: 6.37 s
Epoch 012 | learning rate: 0.0387 | Train Loss: 1.4670 | Train Acc: 0.4827 | Valid Loss: 1.5195 | Valid Acc: 0.4596 | Epoch Time: 6.40 s
Epoch 013 | learning rate: 0.0368 | Train Loss: 1.4527 | Train Acc: 0.4902 | Valid Loss: 1.5668 | Valid Acc: 0.4564 | Epoch Time: 6.42 s
Epoch 014 | learning rate: 0.0368 | Train Loss: 1.4371 | Train Acc: 0.4941 | Valid Loss: 1.5003 | Valid Acc: 0.4604 | Epoch Time: 6.83 s
Epoch 015 | learning rate: 0.0349 | Train Loss: 1.4209 | Train Acc: 0.4999 | Valid Loss: 1.4641 | Valid Acc: 0.4812 | Epoch Time: 6.73 s
Epoch 016 | learning rate: 0.0349 | Train Loss: 1.4011 | Train Acc: 0.5086 | Valid Loss: 1.4803 | Valid Acc: 0.4740 | Epoch Time: 6.52 s
Epoch 017 | learning rate: 0.0349 | Train Loss: 1.3912 | Train Acc: 0.5110 | Valid Loss: 1.4481 | Valid Acc: 0.4932 | Epoch Time: 5.85 s
Epoch 018 | learning rate: 0.0332 | Train Loss: 1.3741 | Train Acc: 0.5165 | Valid Loss: 1.4626 | Valid Acc: 0.4758 | Epoch Time: 6.23 s
