Epoch 037 | learning rate: 0.0209 | Train Loss: 1.2061 | Train Acc: 0.5770 | Valid Loss: 1.3523 | Valid Acc: 0.5350 | Epoch Time: 3.90 s
Epoch 038 | learning rate: 0.0209 | Train Loss: 1.1934 | Train Acc: 0.5833 | Valid Loss: 1.3528 | Valid Acc: 0.5272 | Epoch Time: 4.23 s
Epoch 039 | learning rate: 0.0199 | Train Loss: 1.1906 | Train Acc: 0.5833 | Valid Loss: 1.4822 | Valid Acc: 0.4858 | Epoch Time: 4.13 s
Epoch 040 | learning rate: 0.0199 | Train Loss: 1.1830 | Train Acc: 0.5852 | Valid Loss: 1.3565 | Valid Acc: 0.5338 | Epoch Time: 4.09 s
Epoch 041 | learning rate: 0.0189 | Train Loss: 1.1759 | Train Acc: 0.5898 | Valid Loss: 1.3732 | Valid Acc: 0.5212 | Epoch Time: 3.98 s
Epoch 042 | learning rate: 0.0189 | Train Loss: 1.1666 | Train Acc: 0.5911 | Valid Loss: 1.3652 | Valid Acc: 0.5292 | Epoch Time: 3.99 s
Epoch 043 | learning rate: 0.0179 | Train Loss: 1.1595 | Train Acc: 0.5969 | Valid Loss: 1.3433 | Valid Acc: 0.5320 | Epoch Time: 3.93 s
Epoch 044 | learning rate: 0.0179 | Train Loss: 1.1522 | Train Acc: 0.5988 | Valid Loss: 1.3608 | Valid Acc: 0.5216 | Epoch Time: 3.73 s
Epoch 045 | learning rate: 0.0170 | Train Loss: 1.1474 | Train Acc: 0.6003 | Valid Loss: 1.3685 | Valid Acc: 0.5156 | Epoch Time: 3.41 s
Epoch 046 | learning rate: 0.0170 | Train Loss: 1.1344 | Train Acc: 0.6057 | Valid Loss: 1.3473 | Valid Acc: 0.5306 | Epoch Time: 3.37 s
Epoch 047 | learning rate: 0.0162 | Train Loss: 1.1334 | Train Acc: 0.6045 | Valid Loss: 1.3428 | Valid Acc: 0.5310 | Epoch Time: 3.56 s
Epoch 048 | learning rate: 0.0162 | Train Loss: 1.1264 | Train Acc: 0.6081 | Valid Loss: 1.3545 | Valid Acc: 0.5310 | Epoch Time: 3.58 s
Epoch 049 | learning rate: 0.0162 | Train Loss: 1.1218 | Train Acc: 0.6085 | Valid Loss: 1.3625 | Valid Acc: 0.5220 | Epoch Time: 3.07 s
Epoch 050 | learning rate: 0.0154 | Train Loss: 1.1144 | Train Acc: 0.6128 | Valid Loss: 1.3654 | Valid Acc: 0.5306 | Epoch Time: 3.14 s
Epoch 051 | learning rate: 0.0154 | Train Loss: 1.1085 | Train Acc: 0.6142 | Valid Loss: 1.3881 | Valid Acc: 0.5174 | Epoch Time: 3.08 s
Epoch 052 | learning rate: 0.0146 | Train Loss: 1.1019 | Train Acc: 0.6171 | Valid Loss: 1.3407 | Valid Acc: 0.5344 | Epoch Time: 3.28 s
Epoch 053 | learning rate: 0.0146 | Train Loss: 1.0963 | Train Acc: 0.6184 | Valid Loss: 1.3152 | Valid Acc: 0.5452 | Epoch Time: 3.24 s
