Epoch 001 | learning rate: 0.0500 | Train Loss: 2.0218 | Train Acc: 0.2678 | Valid Loss: 1.9318 | Valid Acc: 0.2940 | Epoch Time: 4.51 s
Epoch 002 | learning rate: 0.0500 | Train Loss: 1.8478 | Train Acc: 0.3433 | Valid Loss: 1.8131 | Valid Acc: 0.3518 | Epoch Time: 5.17 s
Epoch 003 | learning rate: 0.0475 | Train Loss: 1.7622 | Train Acc: 0.3721 | Valid Loss: 1.7024 | Valid Acc: 0.3922 | Epoch Time: 4.80 s
Epoch 004 | learning rate: 0.0475 | Train Loss: 1.7121 | Train Acc: 0.3915 | Valid Loss: 1.7604 | Valid Acc: 0.3522 | Epoch Time: 4.80 s
Epoch 005 | learning rate: 0.0451 | Train Loss: 1.6639 | Train Acc: 0.4106 | Valid Loss: 1.6329 | Valid Acc: 0.4182 | Epoch Time: 4.63 s
Epoch 006 | learning rate: 0.0451 | Train Loss: 1.6354 | Train Acc: 0.4219 | Valid Loss: 1.6454 | Valid Acc: 0.4076 | Epoch Time: 4.58 s
Epoch 007 | learning rate: 0.0429 | Train Loss: 1.6052 | Train Acc: 0.4302 | Valid Loss: 1.6432 | Valid Acc: 0.4106 | Epoch Time: 4.34 s
Epoch 008 | learning rate: 0.0429 | Train Loss: 1.5805 | Train Acc: 0.4392 | Valid Loss: 1.5783 | Valid Acc: 0.4330 | Epoch Time: 4.29 s
Epoch 009 | learning rate: 0.0407 | Train Loss: 1.5546 | Train Acc: 0.4516 | Valid Loss: 1.5546 | Valid Acc: 0.4406 | Epoch Time: 4.37 s
Epoch 010 | learning rate: 0.0407 | Train Loss: 1.5330 | Train Acc: 0.4589 | Valid Loss: 1.5297 | Valid Acc: 0.4522 | Epoch Time: 4.58 s
Epoch 011 | learning rate: 0.0387 | Train Loss: 1.5125 | Train Acc: 0.4675 | Valid Loss: 1.5219 | Valid Acc: 0.4600 | Epoch Time: 4.37 s
Epoch 012 | learning rate: 0.0387 | Train Loss: 1.4944 | Train Acc: 0.4728 | Valid Loss: 1.4963 | Valid Acc: 0.4692 | Epoch Time: 4.59 s
Epoch 013 | learning rate: 0.0368 | Train Loss: 1.4789 | Train Acc: 0.4792 | Valid Loss: 1.5488 | Valid Acc: 0.4512 | Epoch Time: 4.57 s
Epoch 014 | learning rate: 0.0368 | Train Loss: 1.4598 | Train Acc: 0.4861 | Valid Loss: 1.5126 | Valid Acc: 0.4678 | Epoch Time: 4.59 s
Epoch 015 | learning rate: 0.0349 | Train Loss: 1.4450 | Train Acc: 0.4897 | Valid Loss: 1.4567 | Valid Acc: 0.4808 | Epoch Time: 4.39 s
Epoch 016 | learning rate: 0.0349 | Train Loss: 1.4292 | Train Acc: 0.4967 | Valid Loss: 1.4608 | Valid Acc: 0.4808 | Epoch Time: 4.54 s
